individual,gen,treatment,treat,day,mortality
G1C_1,Gen1:C,control,Gen1:Ccontrol,1,1
G1C_2,Gen1:C,control,Gen1:Ccontrol,1,1
G1C_3,Gen1:C,control,Gen1:Ccontrol,1,1
G1C_4,Gen1:C,control,Gen1:Ccontrol,1,1
G1C_5,Gen1:C,control,Gen1:Ccontrol,1,1
G1C_6,Gen1:C,control,Gen1:Ccontrol,1,1
G1C_7,Gen1:C,control,Gen1:Ccontrol,1,1
G1C_8,Gen1:C,control,Gen1:Ccontrol,1,1
G1C_9,Gen1:C,control,Gen1:Ccontrol,1,1
G1C_10,Gen1:C,control,Gen1:Ccontrol,1,1
G1C_11,Gen1:C,control,Gen1:Ccontrol,1,1
G1C_12,Gen1:C,control,Gen1:Ccontrol,1,1
G1C_1,Gen1:C,infected,Gen1:Cheat,1,1
G1C_2,Gen1:C,infected,Gen1:Cheat,1,1
G1C_3,Gen1:C,infected,Gen1:Cheat,1,1
G1C_4,Gen1:C,infected,Gen1:Cheat,1,1
G1C_5,Gen1:C,infected,Gen1:Cheat,1,1
G1C_6,Gen1:C,infected,Gen1:Cheat,1,1
G1C_7,Gen1:C,infected,Gen1:Cheat,1,1
G1C_8,Gen1:C,infected,Gen1:Cheat,1,1
G1C_9,Gen1:C,infected,Gen1:Cheat,1,1
G1C_10,Gen1:C,infected,Gen1:Cheat,1,1
G1C_11,Gen1:C,infected,Gen1:Cheat,1,1
G1C_12,Gen1:C,infected,Gen1:Cheat,1,1
G1C_1,Gen1:C,control,Gen1:Ccontrol,2,1
G1C_2,Gen1:C,control,Gen1:Ccontrol,2,1
G1C_3,Gen1:C,control,Gen1:Ccontrol,2,1
G1C_4,Gen1:C,control,Gen1:Ccontrol,2,1
G1C_5,Gen1:C,control,Gen1:Ccontrol,2,1
G1C_6,Gen1:C,control,Gen1:Ccontrol,2,1
G1C_7,Gen1:C,control,Gen1:Ccontrol,2,1
G1C_8,Gen1:C,control,Gen1:Ccontrol,2,1
G1C_9,Gen1:C,control,Gen1:Ccontrol,2,1
G1C_10,Gen1:C,control,Gen1:Ccontrol,2,1
G1C_11,Gen1:C,control,Gen1:Ccontrol,2,1
G1C_12,Gen1:C,control,Gen1:Ccontrol,2,1
G1C_1,Gen1:C,infected,Gen1:Cheat,2,1
G1C_2,Gen1:C,infected,Gen1:Cheat,2,1
G1C_3,Gen1:C,infected,Gen1:Cheat,2,1
G1C_4,Gen1:C,infected,Gen1:Cheat,2,1
G1C_5,Gen1:C,infected,Gen1:Cheat,2,1
G1C_6,Gen1:C,infected,Gen1:Cheat,2,1
G1C_7,Gen1:C,infected,Gen1:Cheat,2,1
G1C_8,Gen1:C,infected,Gen1:Cheat,2,1
G1C_9,Gen1:C,infected,Gen1:Cheat,2,1
G1C_10,Gen1:C,infected,Gen1:Cheat,2,1
G1C_11,Gen1:C,infected,Gen1:Cheat,2,1
G1C_12,Gen1:C,infected,Gen1:Cheat,2,1
G1C_1,Gen1:C,control,Gen1:Ccontrol,3,1
G1C_2,Gen1:C,control,Gen1:Ccontrol,3,1
G1C_3,Gen1:C,control,Gen1:Ccontrol,3,1
G1C_4,Gen1:C,control,Gen1:Ccontrol,3,1
G1C_5,Gen1:C,control,Gen1:Ccontrol,3,1
G1C_6,Gen1:C,control,Gen1:Ccontrol,3,1
G1C_7,Gen1:C,control,Gen1:Ccontrol,3,1
G1C_8,Gen1:C,control,Gen1:Ccontrol,3,1
G1C_9,Gen1:C,control,Gen1:Ccontrol,3,1
G1C_10,Gen1:C,control,Gen1:Ccontrol,3,1
G1C_11,Gen1:C,control,Gen1:Ccontrol,3,1
G1C_12,Gen1:C,control,Gen1:Ccontrol,3,1
G1C_1,Gen1:C,infected,Gen1:Cheat,3,1
G1C_2,Gen1:C,infected,Gen1:Cheat,3,1
G1C_3,Gen1:C,infected,Gen1:Cheat,3,1
G1C_4,Gen1:C,infected,Gen1:Cheat,3,1
G1C_5,Gen1:C,infected,Gen1:Cheat,3,1
G1C_6,Gen1:C,infected,Gen1:Cheat,3,1
G1C_7,Gen1:C,infected,Gen1:Cheat,3,1
G1C_8,Gen1:C,infected,Gen1:Cheat,3,1
G1C_9,Gen1:C,infected,Gen1:Cheat,3,1
G1C_10,Gen1:C,infected,Gen1:Cheat,3,1
G1C_11,Gen1:C,infected,Gen1:Cheat,3,1
G1C_12,Gen1:C,infected,Gen1:Cheat,3,1
G1C_1,Gen1:C,control,Gen1:Ccontrol,4,1
G1C_2,Gen1:C,control,Gen1:Ccontrol,4,1
G1C_3,Gen1:C,control,Gen1:Ccontrol,4,1
G1C_4,Gen1:C,control,Gen1:Ccontrol,4,1
G1C_5,Gen1:C,control,Gen1:Ccontrol,4,1
G1C_6,Gen1:C,control,Gen1:Ccontrol,4,1
G1C_7,Gen1:C,control,Gen1:Ccontrol,4,1
G1C_8,Gen1:C,control,Gen1:Ccontrol,4,1
G1C_9,Gen1:C,control,Gen1:Ccontrol,4,1
G1C_10,Gen1:C,control,Gen1:Ccontrol,4,1
G1C_11,Gen1:C,control,Gen1:Ccontrol,4,1
G1C_12,Gen1:C,control,Gen1:Ccontrol,4,1
G1C_1,Gen1:C,infected,Gen1:Cheat,4,1
G1C_2,Gen1:C,infected,Gen1:Cheat,4,1
G1C_3,Gen1:C,infected,Gen1:Cheat,4,1
G1C_4,Gen1:C,infected,Gen1:Cheat,4,1
G1C_5,Gen1:C,infected,Gen1:Cheat,4,1
G1C_6,Gen1:C,infected,Gen1:Cheat,4,1
G1C_7,Gen1:C,infected,Gen1:Cheat,4,1
G1C_8,Gen1:C,infected,Gen1:Cheat,4,1
G1C_9,Gen1:C,infected,Gen1:Cheat,4,1
G1C_10,Gen1:C,infected,Gen1:Cheat,4,1
G1C_11,Gen1:C,infected,Gen1:Cheat,4,1
G1C_12,Gen1:C,infected,Gen1:Cheat,4,1
G1C_1,Gen1:C,control,Gen1:Ccontrol,5,1
G1C_2,Gen1:C,control,Gen1:Ccontrol,5,1
G1C_3,Gen1:C,control,Gen1:Ccontrol,5,1
G1C_4,Gen1:C,control,Gen1:Ccontrol,5,1
G1C_5,Gen1:C,control,Gen1:Ccontrol,5,1
G1C_6,Gen1:C,control,Gen1:Ccontrol,5,1
G1C_7,Gen1:C,control,Gen1:Ccontrol,5,1
G1C_8,Gen1:C,control,Gen1:Ccontrol,5,1
G1C_9,Gen1:C,control,Gen1:Ccontrol,5,1
G1C_10,Gen1:C,control,Gen1:Ccontrol,5,1
G1C_11,Gen1:C,control,Gen1:Ccontrol,5,1
G1C_12,Gen1:C,control,Gen1:Ccontrol,5,1
G1C_1,Gen1:C,infected,Gen1:Cheat,5,1
G1C_2,Gen1:C,infected,Gen1:Cheat,5,1
G1C_3,Gen1:C,infected,Gen1:Cheat,5,1
G1C_4,Gen1:C,infected,Gen1:Cheat,5,1
G1C_5,Gen1:C,infected,Gen1:Cheat,5,1
G1C_6,Gen1:C,infected,Gen1:Cheat,5,1
G1C_7,Gen1:C,infected,Gen1:Cheat,5,1
G1C_8,Gen1:C,infected,Gen1:Cheat,5,1
G1C_9,Gen1:C,infected,Gen1:Cheat,5,1
G1C_10,Gen1:C,infected,Gen1:Cheat,5,1
G1C_11,Gen1:C,infected,Gen1:Cheat,5,1
G1C_12,Gen1:C,infected,Gen1:Cheat,5,1
G1C_1,Gen1:C,control,Gen1:Ccontrol,6,1
G1C_2,Gen1:C,control,Gen1:Ccontrol,6,1
G1C_3,Gen1:C,control,Gen1:Ccontrol,6,1
G1C_4,Gen1:C,control,Gen1:Ccontrol,6,1
G1C_5,Gen1:C,control,Gen1:Ccontrol,6,1
G1C_6,Gen1:C,control,Gen1:Ccontrol,6,1
G1C_7,Gen1:C,control,Gen1:Ccontrol,6,1
G1C_8,Gen1:C,control,Gen1:Ccontrol,6,1
G1C_9,Gen1:C,control,Gen1:Ccontrol,6,1
G1C_10,Gen1:C,control,Gen1:Ccontrol,6,1
G1C_11,Gen1:C,control,Gen1:Ccontrol,6,1
G1C_12,Gen1:C,control,Gen1:Ccontrol,6,1
G1C_1,Gen1:C,infected,Gen1:Cheat,6,1
G1C_2,Gen1:C,infected,Gen1:Cheat,6,1
G1C_3,Gen1:C,infected,Gen1:Cheat,6,1
G1C_4,Gen1:C,infected,Gen1:Cheat,6,1
G1C_5,Gen1:C,infected,Gen1:Cheat,6,1
G1C_6,Gen1:C,infected,Gen1:Cheat,6,1
G1C_7,Gen1:C,infected,Gen1:Cheat,6,1
G1C_8,Gen1:C,infected,Gen1:Cheat,6,1
G1C_9,Gen1:C,infected,Gen1:Cheat,6,1
G1C_10,Gen1:C,infected,Gen1:Cheat,6,1
G1C_11,Gen1:C,infected,Gen1:Cheat,6,1
G1C_12,Gen1:C,infected,Gen1:Cheat,6,1
G1C_1,Gen1:C,control,Gen1:Ccontrol,7,1
G1C_2,Gen1:C,control,Gen1:Ccontrol,7,1
G1C_3,Gen1:C,control,Gen1:Ccontrol,7,1
G1C_4,Gen1:C,control,Gen1:Ccontrol,7,1
G1C_5,Gen1:C,control,Gen1:Ccontrol,7,1
G1C_6,Gen1:C,control,Gen1:Ccontrol,7,1
G1C_7,Gen1:C,control,Gen1:Ccontrol,7,1
G1C_8,Gen1:C,control,Gen1:Ccontrol,7,1
G1C_9,Gen1:C,control,Gen1:Ccontrol,7,1
G1C_10,Gen1:C,control,Gen1:Ccontrol,7,1
G1C_11,Gen1:C,control,Gen1:Ccontrol,7,1
G1C_12,Gen1:C,control,Gen1:Ccontrol,7,1
G1C_1,Gen1:C,infected,Gen1:Cheat,7,1
G1C_2,Gen1:C,infected,Gen1:Cheat,7,1
G1C_3,Gen1:C,infected,Gen1:Cheat,7,1
G1C_4,Gen1:C,infected,Gen1:Cheat,7,1
G1C_5,Gen1:C,infected,Gen1:Cheat,7,1
G1C_6,Gen1:C,infected,Gen1:Cheat,7,1
G1C_7,Gen1:C,infected,Gen1:Cheat,7,1
G1C_8,Gen1:C,infected,Gen1:Cheat,7,1
G1C_9,Gen1:C,infected,Gen1:Cheat,7,1
G1C_10,Gen1:C,infected,Gen1:Cheat,7,1
G1C_11,Gen1:C,infected,Gen1:Cheat,7,1
G1C_12,Gen1:C,infected,Gen1:Cheat,7,1
G4C_1,Gen4:C,control,Gen4:Ccontrol,1,1
G4C_2,Gen4:C,control,Gen4:Ccontrol,1,1
G4C_3,Gen4:C,control,Gen4:Ccontrol,1,1
G4C_4,Gen4:C,control,Gen4:Ccontrol,1,1
G4C_5,Gen4:C,control,Gen4:Ccontrol,1,1
G4C_6,Gen4:C,control,Gen4:Ccontrol,1,1
G4C_7,Gen4:C,control,Gen4:Ccontrol,1,1
G4C_8,Gen4:C,control,Gen4:Ccontrol,1,1
G4C_9,Gen4:C,control,Gen4:Ccontrol,1,1
G4C_10,Gen4:C,control,Gen4:Ccontrol,1,1
G4C_11,Gen4:C,control,Gen4:Ccontrol,1,1
G4C_12,Gen4:C,control,Gen4:Ccontrol,1,1
G4C_1,Gen4:C,infected,Gen4:Cheat,1,1
G4C_2,Gen4:C,infected,Gen4:Cheat,1,1
G4C_3,Gen4:C,infected,Gen4:Cheat,1,1
G4C_4,Gen4:C,infected,Gen4:Cheat,1,1
G4C_5,Gen4:C,infected,Gen4:Cheat,1,1
G4C_6,Gen4:C,infected,Gen4:Cheat,1,1
G4C_7,Gen4:C,infected,Gen4:Cheat,1,1
G4C_8,Gen4:C,infected,Gen4:Cheat,1,1
G4C_9,Gen4:C,infected,Gen4:Cheat,1,1
G4C_10,Gen4:C,infected,Gen4:Cheat,1,1
G4C_11,Gen4:C,infected,Gen4:Cheat,1,1
G4C_12,Gen4:C,infected,Gen4:Cheat,1,1
G4C_1,Gen4:C,control,Gen4:Ccontrol,2,1
G4C_2,Gen4:C,control,Gen4:Ccontrol,2,1
G4C_3,Gen4:C,control,Gen4:Ccontrol,2,1
G4C_4,Gen4:C,control,Gen4:Ccontrol,2,1
G4C_5,Gen4:C,control,Gen4:Ccontrol,2,1
G4C_6,Gen4:C,control,Gen4:Ccontrol,2,1
G4C_7,Gen4:C,control,Gen4:Ccontrol,2,1
G4C_8,Gen4:C,control,Gen4:Ccontrol,2,1
G4C_9,Gen4:C,control,Gen4:Ccontrol,2,1
G4C_10,Gen4:C,control,Gen4:Ccontrol,2,1
G4C_11,Gen4:C,control,Gen4:Ccontrol,2,1
G4C_12,Gen4:C,control,Gen4:Ccontrol,2,1
G4C_1,Gen4:C,infected,Gen4:Cheat,2,1
G4C_2,Gen4:C,infected,Gen4:Cheat,2,1
G4C_3,Gen4:C,infected,Gen4:Cheat,2,1
G4C_4,Gen4:C,infected,Gen4:Cheat,2,1
G4C_5,Gen4:C,infected,Gen4:Cheat,2,1
G4C_6,Gen4:C,infected,Gen4:Cheat,2,1
G4C_7,Gen4:C,infected,Gen4:Cheat,2,1
G4C_8,Gen4:C,infected,Gen4:Cheat,2,1
G4C_9,Gen4:C,infected,Gen4:Cheat,2,1
G4C_10,Gen4:C,infected,Gen4:Cheat,2,1
G4C_11,Gen4:C,infected,Gen4:Cheat,2,1
G4C_12,Gen4:C,infected,Gen4:Cheat,2,1
G4C_1,Gen4:C,control,Gen4:Ccontrol,3,1
G4C_2,Gen4:C,control,Gen4:Ccontrol,3,1
G4C_3,Gen4:C,control,Gen4:Ccontrol,3,1
G4C_4,Gen4:C,control,Gen4:Ccontrol,3,1
G4C_5,Gen4:C,control,Gen4:Ccontrol,3,1
G4C_6,Gen4:C,control,Gen4:Ccontrol,3,1
G4C_7,Gen4:C,control,Gen4:Ccontrol,3,1
G4C_8,Gen4:C,control,Gen4:Ccontrol,3,1
G4C_9,Gen4:C,control,Gen4:Ccontrol,3,1
G4C_10,Gen4:C,control,Gen4:Ccontrol,3,1
G4C_11,Gen4:C,control,Gen4:Ccontrol,3,1
G4C_12,Gen4:C,control,Gen4:Ccontrol,3,1
G4C_1,Gen4:C,infected,Gen4:Cheat,3,1
G4C_2,Gen4:C,infected,Gen4:Cheat,3,1
G4C_3,Gen4:C,infected,Gen4:Cheat,3,1
G4C_4,Gen4:C,infected,Gen4:Cheat,3,1
G4C_5,Gen4:C,infected,Gen4:Cheat,3,1
G4C_6,Gen4:C,infected,Gen4:Cheat,3,1
G4C_7,Gen4:C,infected,Gen4:Cheat,3,1
G4C_8,Gen4:C,infected,Gen4:Cheat,3,1
G4C_9,Gen4:C,infected,Gen4:Cheat,3,1
G4C_10,Gen4:C,infected,Gen4:Cheat,3,1
G4C_11,Gen4:C,infected,Gen4:Cheat,3,1
G4C_12,Gen4:C,infected,Gen4:Cheat,3,1
G4C_1,Gen4:C,control,Gen4:Ccontrol,4,1
G4C_2,Gen4:C,control,Gen4:Ccontrol,4,1
G4C_3,Gen4:C,control,Gen4:Ccontrol,4,1
G4C_4,Gen4:C,control,Gen4:Ccontrol,4,1
G4C_5,Gen4:C,control,Gen4:Ccontrol,4,1
G4C_6,Gen4:C,control,Gen4:Ccontrol,4,1
G4C_7,Gen4:C,control,Gen4:Ccontrol,4,1
G4C_8,Gen4:C,control,Gen4:Ccontrol,4,1
G4C_9,Gen4:C,control,Gen4:Ccontrol,4,1
G4C_10,Gen4:C,control,Gen4:Ccontrol,4,1
G4C_11,Gen4:C,control,Gen4:Ccontrol,4,1
G4C_12,Gen4:C,control,Gen4:Ccontrol,4,1
G4C_1,Gen4:C,infected,Gen4:Cheat,4,1
