individual,gen,treatment,treat,day,mortality
G4C_2,Gen4:C,infected,Gen4:Cheat,4,1
G4C_3,Gen4:C,infected,Gen4:Cheat,4,1
G4C_4,Gen4:C,infected,Gen4:Cheat,4,1
G4C_5,Gen4:C,infected,Gen4:Cheat,4,1
G4C_6,Gen4:C,infected,Gen4:Cheat,4,1
G4C_7,Gen4:C,infected,Gen4:Cheat,4,1
G4C_8,Gen4:C,infected,Gen4:Cheat,4,1
G4C_9,Gen4:C,infected,Gen4:Cheat,4,1
G4C_10,Gen4:C,infected,Gen4:Cheat,4,1
G4C_11,Gen4:C,infected,Gen4:Cheat,4,1
G4C_12,Gen4:C,infected,Gen4:Cheat,4,1
G4C_1,Gen4:C,control,Gen4:Ccontrol,5,1
G4C_2,Gen4:C,control,Gen4:Ccontrol,5,1
G4C_3,Gen4:C,control,Gen4:Ccontrol,5,1
G4C_4,Gen4:C,control,Gen4:Ccontrol,5,1
G4C_5,Gen4:C,control,Gen4:Ccontrol,5,1
G4C_6,Gen4:C,control,Gen4:Ccontrol,5,1
G4C_7,Gen4:C,control,Gen4:Ccontrol,5,1
G4C_8,Gen4:C,control,Gen4:Ccontrol,5,1
G4C_9,Gen4:C,control,Gen4:Ccontrol,5,1
G4C_10,Gen4:C,control,Gen4:Ccontrol,5,1
G4C_11,Gen4:C,control,Gen4:Ccontrol,5,1
G4C_12,Gen4:C,control,Gen4:Ccontrol,5,1
G4C_1,Gen4:C,infected,Gen4:Cheat,5,1
G4C_2,Gen4:C,infected,Gen4:Cheat,5,1
G4C_3,Gen4:C,infected,Gen4:Cheat,5,1
G4C_4,Gen4:C,infected,Gen4:Cheat,5,1
G4C_5,Gen4:C,infected,Gen4:Cheat,5,1
G4C_6,Gen4:C,infected,Gen4:Cheat,5,2
G4C_7,Gen4:C,infected,Gen4:Cheat,5,2
G4C_8,Gen4:C,infected,Gen4:Cheat,5,1
G4C_9,Gen4:C,infected,Gen4:Cheat,5,1
G4C_10,Gen4:C,infected,Gen4:Cheat,5,1
G4C_11,Gen4:C,infected,Gen4:Cheat,5,1
G4C_12,Gen4:C,infected,Gen4:Cheat,5,1
G4C_1,Gen4:C,control,Gen4:Ccontrol,6,1
G4C_2,Gen4:C,control,Gen4:Ccontrol,6,1
G4C_3,Gen4:C,control,Gen4:Ccontrol,6,1
G4C_4,Gen4:C,control,Gen4:Ccontrol,6,1
G4C_5,Gen4:C,control,Gen4:Ccontrol,6,1
G4C_6,Gen4:C,control,Gen4:Ccontrol,6,1
G4C_7,Gen4:C,control,Gen4:Ccontrol,6,1
G4C_8,Gen4:C,control,Gen4:Ccontrol,6,1
G4C_9,Gen4:C,control,Gen4:Ccontrol,6,1
G4C_10,Gen4:C,control,Gen4:Ccontrol,6,1
G4C_11,Gen4:C,control,Gen4:Ccontrol,6,1
G4C_12,Gen4:C,control,Gen4:Ccontrol,6,1
G4C_1,Gen4:C,infected,Gen4:Cheat,6,1
G4C_2,Gen4:C,infected,Gen4:Cheat,6,2
G4C_3,Gen4:C,infected,Gen4:Cheat,6,2
G4C_4,Gen4:C,infected,Gen4:Cheat,6,2
G4C_5,Gen4:C,infected,Gen4:Cheat,6,2
G4C_6,Gen4:C,infected,Gen4:Cheat,6,2
G4C_7,Gen4:C,infected,Gen4:Cheat,6,2
G4C_8,Gen4:C,infected,Gen4:Cheat,6,1
G4C_9,Gen4:C,infected,Gen4:Cheat,6,1
G4C_10,Gen4:C,infected,Gen4:Cheat,6,1
G4C_11,Gen4:C,infected,Gen4:Cheat,6,1
G4C_12,Gen4:C,infected,Gen4:Cheat,6,1
G4C_1,Gen4:C,control,Gen4:Ccontrol,7,1
G4C_2,Gen4:C,control,Gen4:Ccontrol,7,1
G4C_3,Gen4:C,control,Gen4:Ccontrol,7,1
G4C_4,Gen4:C,control,Gen4:Ccontrol,7,1
G4C_5,Gen4:C,control,Gen4:Ccontrol,7,1
G4C_6,Gen4:C,control,Gen4:Ccontrol,7,1
G4C_7,Gen4:C,control,Gen4:Ccontrol,7,1
G4C_8,Gen4:C,control,Gen4:Ccontrol,7,1
G4C_9,Gen4:C,control,Gen4:Ccontrol,7,1
G4C_10,Gen4:C,control,Gen4:Ccontrol,7,1
G4C_11,Gen4:C,control,Gen4:Ccontrol,7,1
G4C_12,Gen4:C,control,Gen4:Ccontrol,7,1
G4C_1,Gen4:C,infected,Gen4:Cheat,7,2
G4C_2,Gen4:C,infected,Gen4:Cheat,7,2
G4C_3,Gen4:C,infected,Gen4:Cheat,7,2
G4C_4,Gen4:C,infected,Gen4:Cheat,7,2
G4C_5,Gen4:C,infected,Gen4:Cheat,7,2
G4C_6,Gen4:C,infected,Gen4:Cheat,7,2
G4C_7,Gen4:C,infected,Gen4:Cheat,7,2
G4C_8,Gen4:C,infected,Gen4:Cheat,7,1
G4C_9,Gen4:C,infected,Gen4:Cheat,7,1
G4C_10,Gen4:C,infected,Gen4:Cheat,7,1
G4C_11,Gen4:C,infected,Gen4:Cheat,7,1
G4C_12,Gen4:C,infected,Gen4:Cheat,7,1
G4D_-1,Gen4:D,control,Gen4:Dcontrol,1,1
G4D_-2,Gen4:D,control,Gen4:Dcontrol,1,1
G4D_-3,Gen4:D,control,Gen4:Dcontrol,1,1
G4D_-4,Gen4:D,control,Gen4:Dcontrol,1,1
G4D_-5,Gen4:D,control,Gen4:Dcontrol,1,1
G4D_-6,Gen4:D,control,Gen4:Dcontrol,1,1
G4D_-7,Gen4:D,control,Gen4:Dcontrol,1,1
G4D_-8,Gen4:D,control,Gen4:Dcontrol,1,1
G4D_-9,Gen4:D,control,Gen4:Dcontrol,1,1
G4D_-10,Gen4:D,control,Gen4:Dcontrol,1,1
G4D_-11,Gen4:D,control,Gen4:Dcontrol,1,1
G4D_-12,Gen4:D,control,Gen4:Dcontrol,1,1
G4D_-1,Gen4:D,infected,Gen4:Dheat,1,1
G4D_-2,Gen4:D,infected,Gen4:Dheat,1,1
G4D_-3,Gen4:D,infected,Gen4:Dheat,1,1
G4D_-4,Gen4:D,infected,Gen4:Dheat,1,1
G4D_-5,Gen4:D,infected,Gen4:Dheat,1,1
G4D_-6,Gen4:D,infected,Gen4:Dheat,1,1
G4D_-7,Gen4:D,infected,Gen4:Dheat,1,1
G4D_-8,Gen4:D,infected,Gen4:Dheat,1,1
G4D_-9,Gen4:D,infected,Gen4:Dheat,1,1
G4D_-10,Gen4:D,infected,Gen4:Dheat,1,1
G4D_-11,Gen4:D,infected,Gen4:Dheat,1,1
G4D_-12,Gen4:D,infected,Gen4:Dheat,1,1
G4D_-1,Gen4:D,control,Gen4:Dcontrol,2,1
G4D_-2,Gen4:D,control,Gen4:Dcontrol,2,1
G4D_-3,Gen4:D,control,Gen4:Dcontrol,2,1
G4D_-4,Gen4:D,control,Gen4:Dcontrol,2,1
G4D_-5,Gen4:D,control,Gen4:Dcontrol,2,1
G4D_-6,Gen4:D,control,Gen4:Dcontrol,2,1
G4D_-7,Gen4:D,control,Gen4:Dcontrol,2,1
G4D_-8,Gen4:D,control,Gen4:Dcontrol,2,1
G4D_-9,Gen4:D,control,Gen4:Dcontrol,2,1
G4D_-10,Gen4:D,control,Gen4:Dcontrol,2,1
G4D_-11,Gen4:D,control,Gen4:Dcontrol,2,1
G4D_-12,Gen4:D,control,Gen4:Dcontrol,2,1
G4D_-1,Gen4:D,infected,Gen4:Dheat,2,1
G4D_-2,Gen4:D,infected,Gen4:Dheat,2,1
G4D_-3,Gen4:D,infected,Gen4:Dheat,2,1
G4D_-4,Gen4:D,infected,Gen4:Dheat,2,1
G4D_-5,Gen4:D,infected,Gen4:Dheat,2,1
G4D_-6,Gen4:D,infected,Gen4:Dheat,2,1
G4D_-7,Gen4:D,infected,Gen4:Dheat,2,1
G4D_-8,Gen4:D,infected,Gen4:Dheat,2,1
G4D_-9,Gen4:D,infected,Gen4:Dheat,2,1
G4D_-10,Gen4:D,infected,Gen4:Dheat,2,1
G4D_-11,Gen4:D,infected,Gen4:Dheat,2,1
G4D_-12,Gen4:D,infected,Gen4:Dheat,2,1
G4D_-1,Gen4:D,control,Gen4:Dcontrol,3,1
G4D_-2,Gen4:D,control,Gen4:Dcontrol,3,1
G4D_-3,Gen4:D,control,Gen4:Dcontrol,3,1
G4D_-4,Gen4:D,control,Gen4:Dcontrol,3,1
G4D_-5,Gen4:D,control,Gen4:Dcontrol,3,1
G4D_-6,Gen4:D,control,Gen4:Dcontrol,3,1
G4D_-7,Gen4:D,control,Gen4:Dcontrol,3,1
G4D_-8,Gen4:D,control,Gen4:Dcontrol,3,1
G4D_-9,Gen4:D,control,Gen4:Dcontrol,3,1
G4D_-10,Gen4:D,control,Gen4:Dcontrol,3,1
G4D_-11,Gen4:D,control,Gen4:Dcontrol,3,1
G4D_-12,Gen4:D,control,Gen4:Dcontrol,3,1
G4D_-1,Gen4:D,infected,Gen4:Dheat,3,1
G4D_-2,Gen4:D,infected,Gen4:Dheat,3,1
G4D_-3,Gen4:D,infected,Gen4:Dheat,3,1
G4D_-4,Gen4:D,infected,Gen4:Dheat,3,1
G4D_-5,Gen4:D,infected,Gen4:Dheat,3,1
G4D_-6,Gen4:D,infected,Gen4:Dheat,3,1
G4D_-7,Gen4:D,infected,Gen4:Dheat,3,1
G4D_-8,Gen4:D,infected,Gen4:Dheat,3,1
G4D_-9,Gen4:D,infected,Gen4:Dheat,3,1
G4D_-10,Gen4:D,infected,Gen4:Dheat,3,1
G4D_-11,Gen4:D,infected,Gen4:Dheat,3,1
G4D_-12,Gen4:D,infected,Gen4:Dheat,3,2
G4D_-1,Gen4:D,control,Gen4:Dcontrol,4,1
G4D_-2,Gen4:D,control,Gen4:Dcontrol,4,1
G4D_-3,Gen4:D,control,Gen4:Dcontrol,4,1
G4D_-4,Gen4:D,control,Gen4:Dcontrol,4,1
G4D_-5,Gen4:D,control,Gen4:Dcontrol,4,1
G4D_-6,Gen4:D,control,Gen4:Dcontrol,4,1
G4D_-7,Gen4:D,control,Gen4:Dcontrol,4,1
G4D_-8,Gen4:D,control,Gen4:Dcontrol,4,1
G4D_-9,Gen4:D,control,Gen4:Dcontrol,4,1
G4D_-10,Gen4:D,control,Gen4:Dcontrol,4,1
G4D_-11,Gen4:D,control,Gen4:Dcontrol,4,1
G4D_-12,Gen4:D,control,Gen4:Dcontrol,4,1
G4D_-1,Gen4:D,infected,Gen4:Dheat,4,1
G4D_-2,Gen4:D,infected,Gen4:Dheat,4,1
G4D_-3,Gen4:D,infected,Gen4:Dheat,4,1
G4D_-4,Gen4:D,infected,Gen4:Dheat,4,1
G4D_-5,Gen4:D,infected,Gen4:Dheat,4,1
G4D_-6,Gen4:D,infected,Gen4:Dheat,4,1
G4D_-7,Gen4:D,infected,Gen4:Dheat,4,1
G4D_-8,Gen4:D,infected,Gen4:Dheat,4,1
G4D_-9,Gen4:D,infected,Gen4:Dheat,4,2
G4D_-10,Gen4:D,infected,Gen4:Dheat,4,1
G4D_-11,Gen4:D,infected,Gen4:Dheat,4,2
G4D_-12,Gen4:D,infected,Gen4:Dheat,4,2
G4D_-1,Gen4:D,control,Gen4:Dcontrol,5,1
G4D_-2,Gen4:D,control,Gen4:Dcontrol,5,1
G4D_-3,Gen4:D,control,Gen4:Dcontrol,5,1
G4D_-4,Gen4:D,control,Gen4:Dcontrol,5,1
G4D_-5,Gen4:D,control,Gen4:Dcontrol,5,1
G4D_-6,Gen4:D,control,Gen4:Dcontrol,5,1
G4D_-7,Gen4:D,control,Gen4:Dcontrol,5,1
G4D_-8,Gen4:D,control,Gen4:Dcontrol,5,1
G4D_-9,Gen4:D,control,Gen4:Dcontrol,5,1
G4D_-10,Gen4:D,control,Gen4:Dcontrol,5,1
G4D_-11,Gen4:D,control,Gen4:Dcontrol,5,1
G4D_-12,Gen4:D,control,Gen4:Dcontrol,5,1
G4D_-1,Gen4:D,infected,Gen4:Dheat,5,1
G4D_-2,Gen4:D,infected,Gen4:Dheat,5,1
G4D_-3,Gen4:D,infected,Gen4:Dheat,5,1
G4D_-4,Gen4:D,infected,Gen4:Dheat,5,1
G4D_-5,Gen4:D,infected,Gen4:Dheat,5,2
G4D_-6,Gen4:D,infected,Gen4:Dheat,5,2
G4D_-7,Gen4:D,infected,Gen4:Dheat,5,1
G4D_-8,Gen4:D,infected,Gen4:Dheat,5,1
G4D_-9,Gen4:D,infected,Gen4:Dheat,5,2
G4D_-10,Gen4:D,infected,Gen4:Dheat,5,1
G4D_-11,Gen4:D,infected,Gen4:Dheat,5,2
G4D_-12,Gen4:D,infected,Gen4:Dheat,5,2
G4D_-1,Gen4:D,control,Gen4:Dcontrol,6,1
G4D_-2,Gen4:D,control,Gen4:Dcontrol,6,1
G4D_-3,Gen4:D,control,Gen4:Dcontrol,6,1
G4D_-4,Gen4:D,control,Gen4:Dcontrol,6,1
G4D_-5,Gen4:D,control,Gen4:Dcontrol,6,1
G4D_-6,Gen4:D,control,Gen4:Dcontrol,6,1
G4D_-7,Gen4:D,control,Gen4:Dcontrol,6,1
G4D_-8,Gen4:D,control,Gen4:Dcontrol,6,1
G4D_-9,Gen4:D,control,Gen4:Dcontrol,6,1
G4D_-10,Gen4:D,control,Gen4:Dcontrol,6,1
G4D_-11,Gen4:D,control,Gen4:Dcontrol,6,1
G4D_-12,Gen4:D,control,Gen4:Dcontrol,6,1
G4D_-1,Gen4:D,infected,Gen4:Dheat,6,2
G4D_-2,Gen4:D,infected,Gen4:Dheat,6,2
G4D_-3,Gen4:D,infected,Gen4:Dheat,6,2
G4D_-4,Gen4:D,infected,Gen4:Dheat,6,1
G4D_-5,Gen4:D,infected,Gen4:Dheat,6,2
G4D_-6,Gen4:D,infected,Gen4:Dheat,6,2
G4D_-7,Gen4:D,infected,Gen4:Dheat,6,2
G4D_-8,Gen4:D,infected,Gen4:Dheat,6,2
G4D_-9,Gen4:D,infected,Gen4:Dheat,6,2
G4D_-10,Gen4:D,infected,Gen4:Dheat,6,1
G4D_-11,Gen4:D,infected,Gen4:Dheat,6,2
G4D_-12,Gen4:D,infected,Gen4:Dheat,6,2
G4D_-1,Gen4:D,control,Gen4:Dcontrol,7,1
G4D_-2,Gen4:D,control,Gen4:Dcontrol,7,1
G4D_-3,Gen4:D,control,Gen4:Dcontrol,7,1
G4D_-4,Gen4:D,control,Gen4:Dcontrol,7,1
G4D_-5,Gen4:D,control,Gen4:Dcontrol,7,1
G4D_-6,Gen4:D,control,Gen4:Dcontrol,7,1
G4D_-7,Gen4:D,control,Gen4:Dcontrol,7,1
G4D_-8,Gen4:D,control,Gen4:Dcontrol,7,1
G4D_-9,Gen4:D,control,Gen4:Dcontrol,7,1
G4D_-10,Gen4:D,control,Gen4:Dcontrol,7,1
G4D_-11,Gen4:D,control,Gen4:Dcontrol,7,1
G4D_-12,Gen4:D,control,Gen4:Dcontrol,7,1
G4D_-1,Gen4:D,infected,Gen4:Dheat,7,2
G4D_-2,Gen4:D,infected,Gen4:Dheat,7,2
G4D_-3,Gen4:D,infected,Gen4:Dheat,7,2
G4D_-4,Gen4:D,infected,Gen4:Dheat,7,2
G4D_-5,Gen4:D,infected,Gen4:Dheat,7,2
G4D_-6,Gen4:D,infected,Gen4:Dheat,7,2
G4D_-7,Gen4:D,infected,Gen4:Dheat,7,2
G4D_-8,Gen4:D,infected,Gen4:Dheat,7,2
G4D_-9,Gen4:D,infected,Gen4:Dheat,7,2
G4D_-10,Gen4:D,infected,Gen4:Dheat,7,2
G4D_-11,Gen4:D,infected,Gen4:Dheat,7,2
G4D_-12,Gen4:D,infected,Gen4:Dheat,7,2