individual,gen,treatment,treat,day,percent_tissue_loss
G1C_1,ECAH,control,Gen1:Ccontrol,1,0
G1C_2,ECAH,control,Gen1:Ccontrol,1,0
G1C_3,ECAH,control,Gen1:Ccontrol,1,0
G1C_4,ECAH,control,Gen1:Ccontrol,1,0
G1C_5,ECAH,control,Gen1:Ccontrol,1,0
G1C_6,ECAH,control,Gen1:Ccontrol,1,0
G1C_7,ECAH,control,Gen1:Ccontrol,1,0
G1C_8,ECAH,control,Gen1:Ccontrol,1,0
G1C_9,ECAH,control,Gen1:Ccontrol,1,0
G1C_10,ECAH,control,Gen1:Ccontrol,1,0
G1C_11,ECAH,control,Gen1:Ccontrol,1,0
G1C_12,ECAH,control,Gen1:Ccontrol,1,0
G1C_1,ECAH,infected,Gen1:Cinf,1,0
G1C_2,ECAH,infected,Gen1:Cinf,1,0
G1C_3,ECAH,infected,Gen1:Cinf,1,0
G1C_4,ECAH,infected,Gen1:Cinf,1,0
G1C_5,ECAH,infected,Gen1:Cinf,1,0
G1C_6,ECAH,infected,Gen1:Cinf,1,0
G1C_7,ECAH,infected,Gen1:Cinf,1,0
G1C_8,ECAH,infected,Gen1:Cinf,1,0
G1C_9,ECAH,infected,Gen1:Cinf,1,0
G1C_10,ECAH,infected,Gen1:Cinf,1,0
G1C_11,ECAH,infected,Gen1:Cinf,1,0
G1C_12,ECAH,infected,Gen1:Cinf,1,0
G1C_1,ECAH,control,Gen1:Ccontrol,2,0
G1C_2,ECAH,control,Gen1:Ccontrol,2,0
G1C_3,ECAH,control,Gen1:Ccontrol,2,0
G1C_4,ECAH,control,Gen1:Ccontrol,2,0
G1C_5,ECAH,control,Gen1:Ccontrol,2,0
G1C_6,ECAH,control,Gen1:Ccontrol,2,0
G1C_7,ECAH,control,Gen1:Ccontrol,2,0
G1C_8,ECAH,control,Gen1:Ccontrol,2,0
G1C_9,ECAH,control,Gen1:Ccontrol,2,0
G1C_10,ECAH,control,Gen1:Ccontrol,2,0
G1C_11,ECAH,control,Gen1:Ccontrol,2,0
G1C_12,ECAH,control,Gen1:Ccontrol,2,0
G1C_1,ECAH,infected,Gen1:Cinf,2,0
G1C_2,ECAH,infected,Gen1:Cinf,2,0
G1C_3,ECAH,infected,Gen1:Cinf,2,0
G1C_4,ECAH,infected,Gen1:Cinf,2,0
G1C_5,ECAH,infected,Gen1:Cinf,2,0
G1C_6,ECAH,infected,Gen1:Cinf,2,0
G1C_7,ECAH,infected,Gen1:Cinf,2,0
G1C_8,ECAH,infected,Gen1:Cinf,2,0
G1C_9,ECAH,infected,Gen1:Cinf,2,0
G1C_10,ECAH,infected,Gen1:Cinf,2,0
G1C_11,ECAH,infected,Gen1:Cinf,2,0
G1C_12,ECAH,infected,Gen1:Cinf,2,0
G1C_1,ECAH,control,Gen1:Ccontrol,3,0
G1C_2,ECAH,control,Gen1:Ccontrol,3,0
G1C_3,ECAH,control,Gen1:Ccontrol,3,0
G1C_4,ECAH,control,Gen1:Ccontrol,3,0
G1C_5,ECAH,control,Gen1:Ccontrol,3,0
G1C_6,ECAH,control,Gen1:Ccontrol,3,0
G1C_7,ECAH,control,Gen1:Ccontrol,3,0
G1C_8,ECAH,control,Gen1:Ccontrol,3,0
G1C_9,ECAH,control,Gen1:Ccontrol,3,0
G1C_10,ECAH,control,Gen1:Ccontrol,3,0
G1C_11,ECAH,control,Gen1:Ccontrol,3,0
G1C_12,ECAH,control,Gen1:Ccontrol,3,0
G1C_1,ECAH,infected,Gen1:Cinf,3,0
G1C_2,ECAH,infected,Gen1:Cinf,3,0
G1C_3,ECAH,infected,Gen1:Cinf,3,0
G1C_4,ECAH,infected,Gen1:Cinf,3,0
G1C_5,ECAH,infected,Gen1:Cinf,3,0
G1C_6,ECAH,infected,Gen1:Cinf,3,0
G1C_7,ECAH,infected,Gen1:Cinf,3,0
G1C_8,ECAH,infected,Gen1:Cinf,3,0
G1C_9,ECAH,infected,Gen1:Cinf,3,0
G1C_10,ECAH,infected,Gen1:Cinf,3,0
G1C_11,ECAH,infected,Gen1:Cinf,3,0
G1C_12,ECAH,infected,Gen1:Cinf,3,0
G1C_1,ECAH,control,Gen1:Ccontrol,4,0
G1C_2,ECAH,control,Gen1:Ccontrol,4,0
G1C_3,ECAH,control,Gen1:Ccontrol,4,0
G1C_4,ECAH,control,Gen1:Ccontrol,4,0
G1C_5,ECAH,control,Gen1:Ccontrol,4,0
G1C_6,ECAH,control,Gen1:Ccontrol,4,0
G1C_7,ECAH,control,Gen1:Ccontrol,4,0
G1C_8,ECAH,control,Gen1:Ccontrol,4,0
G1C_9,ECAH,control,Gen1:Ccontrol,4,0
G1C_10,ECAH,control,Gen1:Ccontrol,4,0
G1C_11,ECAH,control,Gen1:Ccontrol,4,0
G1C_12,ECAH,control,Gen1:Ccontrol,4,0
G1C_1,ECAH,infected,Gen1:Cinf,4,0
G1C_2,ECAH,infected,Gen1:Cinf,4,0
G1C_3,ECAH,infected,Gen1:Cinf,4,0
G1C_4,ECAH,infected,Gen1:Cinf,4,0
G1C_5,ECAH,infected,Gen1:Cinf,4,0
G1C_6,ECAH,infected,Gen1:Cinf,4,0
G1C_7,ECAH,infected,Gen1:Cinf,4,0
G1C_8,ECAH,infected,Gen1:Cinf,4,0
G1C_9,ECAH,infected,Gen1:Cinf,4,0
G1C_10,ECAH,infected,Gen1:Cinf,4,0
G1C_11,ECAH,infected,Gen1:Cinf,4,0
G1C_12,ECAH,infected,Gen1:Cinf,4,0
G1C_1,ECAH,control,Gen1:Ccontrol,5,0
G1C_2,ECAH,control,Gen1:Ccontrol,5,0
G1C_3,ECAH,control,Gen1:Ccontrol,5,0
G1C_4,ECAH,control,Gen1:Ccontrol,5,0
G1C_5,ECAH,control,Gen1:Ccontrol,5,0
G1C_6,ECAH,control,Gen1:Ccontrol,5,0
G1C_7,ECAH,control,Gen1:Ccontrol,5,0
G1C_8,ECAH,control,Gen1:Ccontrol,5,0
G1C_9,ECAH,control,Gen1:Ccontrol,5,0
G1C_10,ECAH,control,Gen1:Ccontrol,5,0
G1C_11,ECAH,control,Gen1:Ccontrol,5,0
G1C_12,ECAH,control,Gen1:Ccontrol,5,0
G1C_1,ECAH,infected,Gen1:Cinf,5,0
G1C_2,ECAH,infected,Gen1:Cinf,5,0
G1C_3,ECAH,infected,Gen1:Cinf,5,0
G1C_4,ECAH,infected,Gen1:Cinf,5,0
G1C_5,ECAH,infected,Gen1:Cinf,5,0
G1C_6,ECAH,infected,Gen1:Cinf,5,0
G1C_7,ECAH,infected,Gen1:Cinf,5,0
G1C_8,ECAH,infected,Gen1:Cinf,5,0
G1C_9,ECAH,infected,Gen1:Cinf,5,0
G1C_10,ECAH,infected,Gen1:Cinf,5,0
G1C_11,ECAH,infected,Gen1:Cinf,5,0
G1C_12,ECAH,infected,Gen1:Cinf,5,0
G1C_1,ECAH,control,Gen1:Ccontrol,6,0
G1C_2,ECAH,control,Gen1:Ccontrol,6,0
G1C_3,ECAH,control,Gen1:Ccontrol,6,0
G1C_4,ECAH,control,Gen1:Ccontrol,6,0
G1C_5,ECAH,control,Gen1:Ccontrol,6,0
G1C_6,ECAH,control,Gen1:Ccontrol,6,0
G1C_7,ECAH,control,Gen1:Ccontrol,6,0
G1C_8,ECAH,control,Gen1:Ccontrol,6,0
G1C_9,ECAH,control,Gen1:Ccontrol,6,0
G1C_10,ECAH,control,Gen1:Ccontrol,6,0
G1C_11,ECAH,control,Gen1:Ccontrol,6,0
G1C_12,ECAH,control,Gen1:Ccontrol,6,0
G1C_1,ECAH,infected,Gen1:Cinf,6,0
G1C_2,ECAH,infected,Gen1:Cinf,6,0
G1C_3,ECAH,infected,Gen1:Cinf,6,0
G1C_4,ECAH,infected,Gen1:Cinf,6,0
G1C_5,ECAH,infected,Gen1:Cinf,6,0
G1C_6,ECAH,infected,Gen1:Cinf,6,0
G1C_7,ECAH,infected,Gen1:Cinf,6,0
G1C_8,ECAH,infected,Gen1:Cinf,6,0
G1C_9,ECAH,infected,Gen1:Cinf,6,0
G1C_10,ECAH,infected,Gen1:Cinf,6,0
G1C_11,ECAH,infected,Gen1:Cinf,6,0
G1C_12,ECAH,infected,Gen1:Cinf,6,0
G1C_1,ECAH,control,Gen1:Ccontrol,7,0
G1C_2,ECAH,control,Gen1:Ccontrol,7,0
G1C_3,ECAH,control,Gen1:Ccontrol,7,0
G1C_4,ECAH,control,Gen1:Ccontrol,7,0
G1C_5,ECAH,control,Gen1:Ccontrol,7,0
G1C_6,ECAH,control,Gen1:Ccontrol,7,0
G1C_7,ECAH,control,Gen1:Ccontrol,7,0
G1C_8,ECAH,control,Gen1:Ccontrol,7,0
G1C_9,ECAH,control,Gen1:Ccontrol,7,0
G1C_10,ECAH,control,Gen1:Ccontrol,7,0
G1C_11,ECAH,control,Gen1:Ccontrol,7,0
G1C_12,ECAH,control,Gen1:Ccontrol,7,0
G1C_1,ECAH,infected,Gen1:Cinf,7,0
G1C_2,ECAH,infected,Gen1:Cinf,7,0
G1C_3,ECAH,infected,Gen1:Cinf,7,0
G1C_4,ECAH,infected,Gen1:Cinf,7,0
G1C_5,ECAH,infected,Gen1:Cinf,7,0
G1C_6,ECAH,infected,Gen1:Cinf,7,0
G1C_7,ECAH,infected,Gen1:Cinf,7,0
G1C_8,ECAH,infected,Gen1:Cinf,7,0
G1C_9,ECAH,infected,Gen1:Cinf,7,0
G1C_10,ECAH,infected,Gen1:Cinf,7,0
G1C_11,ECAH,infected,Gen1:Cinf,7,0
G1C_12,ECAH,infected,Gen1:Cinf,7,0
G4C_1,ECG,control,ECGcontrol,1,0
G4C_2,ECG,control,ECGcontrol,1,0
G4C_3,ECG,control,ECGcontrol,1,0
G4C_4,ECG,control,ECGcontrol,1,0
G4C_5,ECG,control,ECGcontrol,1,0
G4C_6,ECG,control,ECGcontrol,1,0
G4C_7,ECG,control,ECGcontrol,1,0
G4C_8,ECG,control,ECGcontrol,1,0
G4C_9,ECG,control,ECGcontrol,1,0
G4C_10,ECG,control,ECGcontrol,1,0
G4C_11,ECG,control,ECGcontrol,1,0
G4C_12,ECG,control,ECGcontrol,1,0
G4C_1,ECG,infected,ECGinf,1,0
G4C_2,ECG,infected,ECGinf,1,0
G4C_3,ECG,infected,ECGinf,1,0
G4C_4,ECG,infected,ECGinf,1,0
G4C_5,ECG,infected,ECGinf,1,0
G4C_6,ECG,infected,ECGinf,1,0
G4C_7,ECG,infected,ECGinf,1,0
G4C_8,ECG,infected,ECGinf,1,0
G4C_9,ECG,infected,ECGinf,1,0
G4C_10,ECG,infected,ECGinf,1,0
G4C_11,ECG,infected,ECGinf,1,0
G4C_12,ECG,infected,ECGinf,1,0
G4C_1,ECG,control,ECGcontrol,2,0
G4C_2,ECG,control,ECGcontrol,2,0
G4C_3,ECG,control,ECGcontrol,2,0
G4C_4,ECG,control,ECGcontrol,2,0
G4C_5,ECG,control,ECGcontrol,2,0
G4C_6,ECG,control,ECGcontrol,2,0
G4C_7,ECG,control,ECGcontrol,2,0
G4C_8,ECG,control,ECGcontrol,2,0
G4C_9,ECG,control,ECGcontrol,2,0
G4C_10,ECG,control,ECGcontrol,2,0
G4C_11,ECG,control,ECGcontrol,2,0
G4C_12,ECG,control,ECGcontrol,2,0
G4C_1,ECG,infected,ECGinf,2,20
G4C_2,ECG,infected,ECGinf,2,20
G4C_3,ECG,infected,ECGinf,2,0
G4C_4,ECG,infected,ECGinf,2,0
G4C_5,ECG,infected,ECGinf,2,0
G4C_6,ECG,infected,ECGinf,2,0
G4C_7,ECG,infected,ECGinf,2,20
G4C_8,ECG,infected,ECGinf,2,20
G4C_9,ECG,infected,ECGinf,2,0
G4C_10,ECG,infected,ECGinf,2,0
G4C_11,ECG,infected,ECGinf,2,0
G4C_12,ECG,infected,ECGinf,2,0
G4C_1,ECG,control,ECGcontrol,3,0
G4C_2,ECG,control,ECGcontrol,3,0
G4C_3,ECG,control,ECGcontrol,3,0
G4C_4,ECG,control,ECGcontrol,3,0
G4C_5,ECG,control,ECGcontrol,3,0
G4C_6,ECG,control,ECGcontrol,3,0
G4C_7,ECG,control,ECGcontrol,3,0
G4C_8,ECG,control,ECGcontrol,3,0
G4C_9,ECG,control,ECGcontrol,3,0
G4C_10,ECG,control,ECGcontrol,3,0
G4C_11,ECG,control,ECGcontrol,3,0
G4C_12,ECG,control,ECGcontrol,3,0
G4C_1,ECG,infected,ECGinf,3,20
G4C_2,ECG,infected,ECGinf,3,20
G4C_3,ECG,infected,ECGinf,3,40
G4C_4,ECG,infected,ECGinf,3,40
G4C_5,ECG,infected,ECGinf,3,60
G4C_6,ECG,infected,ECGinf,3,50
G4C_7,ECG,infected,ECGinf,3,20
G4C_8,ECG,infected,ECGinf,3,30
G4C_9,ECG,infected,ECGinf,3,0
G4C_10,ECG,infected,ECGinf,3,0
G4C_11,ECG,infected,ECGinf,3,40
G4C_12,ECG,infected,ECGinf,3,40
G4C_1,ECG,control,ECGcontrol,4,0
G4C_2,ECG,control,ECGcontrol,4,0
G4C_3,ECG,control,ECGcontrol,4,0
G4C_4,ECG,control,ECGcontrol,4,0
G4C_5,ECG,control,ECGcontrol,4,0
G4C_6,ECG,control,ECGcontrol,4,0
G4C_7,ECG,control,ECGcontrol,4,0
G4C_8,ECG,control,ECGcontrol,4,0
G4C_9,ECG,control,ECGcontrol,4,0
G4C_10,ECG,control,ECGcontrol,4,0
G4C_11,ECG,control,ECGcontrol,4,0
G4C_12,ECG,control,ECGcontrol,4,0
G4C_1,ECG,infected,ECGinf,4,60
G4C_2,ECG,infected,ECGinf,4,20
G4C_3,ECG,infected,ECGinf,4,70
G4C_4,ECG,infected,ECGinf,4,70
G4C_5,ECG,infected,ECGinf,4,70
G4C_6,ECG,infected,ECGinf,4,70
G4C_7,ECG,infected,ECGinf,4,20
G4C_8,ECG,infected,ECGinf,4,80
G4C_9,ECG,infected,ECGinf,4,40
G4C_10,ECG,infected,ECGinf,4,60
G4C_11,ECG,infected,ECGinf,4,40
G4C_12,ECG,infected,ECGinf,4,40
G4C_1,ECG,control,ECGcontrol,5,0
G4C_2,ECG,control,ECGcontrol,5,0
G4C_3,ECG,control,ECGcontrol,5,0
G4C_4,ECG,control,ECGcontrol,5,0
G4C_5,ECG,control,ECGcontrol,5,0
G4C_6,ECG,control,ECGcontrol,5,0
G4C_7,ECG,control,ECGcontrol,5,0
G4C_8,ECG,control,ECGcontrol,5,0
G4C_9,ECG,control,ECGcontrol,5,0
G4C_10,ECG,control,ECGcontrol,5,0
G4C_11,ECG,control,ECGcontrol,5,0
G4C_12,ECG,control,ECGcontrol,5,0
G4C_1,ECG,infected,ECGinf,5,90
G4C_2,ECG,infected,ECGinf,5,80
G4C_3,ECG,infected,ECGinf,5,90
G4C_4,ECG,infected,ECGinf,5,90
G4C_5,ECG,infected,ECGinf,5,90
G4C_6,ECG,infected,ECGinf,5,100
G4C_7,ECG,infected,ECGinf,5,100
G4C_8,ECG,infected,ECGinf,5,80
G4C_9,ECG,infected,ECGinf,5,40
G4C_10,ECG,infected,ECGinf,5,80
G4C_11,ECG,infected,ECGinf,5,80
G4C_12,ECG,infected,ECGinf,5,50
G4C_1,ECG,control,ECGcontrol,6,0
G4C_2,ECG,control,ECGcontrol,6,0
G4C_3,ECG,control,ECGcontrol,6,0
G4C_4,ECG,control,ECGcontrol,6,0
G4C_5,ECG,control,ECGcontrol,6,0
G4C_6,ECG,control,ECGcontrol,6,0
G4C_7,ECG,control,ECGcontrol,6,0
G4C_8,ECG,control,ECGcontrol,6,0
G4C_9,ECG,control,ECGcontrol,6,0
G4C_10,ECG,control,ECGcontrol,6,0
G4C_11,ECG,control,ECGcontrol,6,0
G4C_12,ECG,control,ECGcontrol,6,0
G4C_1,ECG,infected,ECGinf,6,90
G4C_2,ECG,infected,ECGinf,6,100
G4C_3,ECG,infected,ECGinf,6,100
G4C_4,ECG,infected,ECGinf,6,100
G4C_5,ECG,infected,ECGinf,6,100
G4C_6,ECG,infected,ECGinf,6,100
G4C_7,ECG,infected,ECGinf,6,100
G4C_8,ECG,infected,ECGinf,6,80
G4C_9,ECG,infected,ECGinf,6,80
G4C_10,ECG,infected,ECGinf,6,80
G4C_11,ECG,infected,ECGinf,6,80
G4C_12,ECG,infected,ECGinf,6,50
G4C_1,ECG,control,ECGcontrol,7,0
G4C_2,ECG,control,ECGcontrol,7,0
G4C_3,ECG,control,ECGcontrol,7,0
G4C_4,ECG,control,ECGcontrol,7,0
G4C_5,ECG,control,ECGcontrol,7,0
G4C_6,ECG,control,ECGcontrol,7,0
G4C_7,ECG,control,ECGcontrol,7,0
G4C_8,ECG,control,ECGcontrol,7,0
G4C_9,ECG,control,ECGcontrol,7,0
G4C_10,ECG,control,ECGcontrol,7,0
G4C_11,ECG,control,ECGcontrol,7,0
G4C_12,ECG,control,ECGcontrol,7,0
G4C_1,ECG,infected,ECGinf,7,100
G4C_2,ECG,infected,ECGinf,7,100
G4C_3,ECG,infected,ECGinf,7,100
G4C_4,ECG,infected,ECGinf,7,100
G4C_5,ECG,infected,ECGinf,7,100
G4C_6,ECG,infected,ECGinf,7,100
G4C_7,ECG,infected,ECGinf,7,100
G4C_8,ECG,infected,ECGinf,7,80
G4C_9,ECG,infected,ECGinf,7,80
G4C_10,ECG,infected,ECGinf,7,80
G4C_11,ECG,infected,ECGinf,7,80
G4C_12,ECG,infected,ECGinf,7,50
G4D_-1,ORAPG,control,Gen4:Dcontrol,1,0
G4D_-2,ORAPG,control,Gen4:Dcontrol,1,0
G4D_-3,ORAPG,control,Gen4:Dcontrol,1,0
G4D_-4,ORAPG,control,Gen4:Dcontrol,1,0
G4D_-5,ORAPG,control,Gen4:Dcontrol,1,0
G4D_-6,ORAPG,control,Gen4:Dcontrol,1,0
G4D_-7,ORAPG,control,Gen4:Dcontrol,1,0
G4D_-8,ORAPG,control,Gen4:Dcontrol,1,0
G4D_-9,ORAPG,control,Gen4:Dcontrol,1,0
G4D_-10,ORAPG,control,Gen4:Dcontrol,1,0
G4D_-11,ORAPG,control,Gen4:Dcontrol,1,0
G4D_-12,ORAPG,control,Gen4:Dcontrol,1,0
G4D_-1,ORAPG,infected,Gen4:Dinf,1,0
G4D_-2,ORAPG,infected,Gen4:Dinf,1,0
G4D_-3,ORAPG,infected,Gen4:Dinf,1,0
G4D_-4,ORAPG,infected,Gen4:Dinf,1,0
G4D_-5,ORAPG,infected,Gen4:Dinf,1,0
G4D_-6,ORAPG,infected,Gen4:Dinf,1,0
G4D_-7,ORAPG,infected,Gen4:Dinf,1,0
G4D_-8,ORAPG,infected,Gen4:Dinf,1,0
G4D_-9,ORAPG,infected,Gen4:Dinf,1,0
G4D_-10,ORAPG,infected,Gen4:Dinf,1,0
G4D_-11,ORAPG,infected,Gen4:Dinf,1,0
G4D_-12,ORAPG,infected,Gen4:Dinf,1,0
G4D_-1,ORAPG,control,Gen4:Dcontrol,2,0
G4D_-2,ORAPG,control,Gen4:Dcontrol,2,0
G4D_-3,ORAPG,control,Gen4:Dcontrol,2,0
G4D_-4,ORAPG,control,Gen4:Dcontrol,2,0
G4D_-5,ORAPG,control,Gen4:Dcontrol,2,0
G4D_-6,ORAPG,control,Gen4:Dcontrol,2,0
G4D_-7,ORAPG,control,Gen4:Dcontrol,2,0
G4D_-8,ORAPG,control,Gen4:Dcontrol,2,0
G4D_-9,ORAPG,control,Gen4:Dcontrol,2,0
G4D_-10,ORAPG,control,Gen4:Dcontrol,2,0
G4D_-11,ORAPG,control,Gen4:Dcontrol,2,0
G4D_-12,ORAPG,control,Gen4:Dcontrol,2,0
G4D_-1,ORAPG,infected,Gen4:Dinf,2,0
G4D_-2,ORAPG,infected,Gen4:Dinf,2,0
G4D_-3,ORAPG,infected,Gen4:Dinf,2,30
G4D_-4,ORAPG,infected,Gen4:Dinf,2,30
G4D_-5,ORAPG,infected,Gen4:Dinf,2,30
G4D_-6,ORAPG,infected,Gen4:Dinf,2,30
G4D_-7,ORAPG,infected,Gen4:Dinf,2,20
G4D_-8,ORAPG,infected,Gen4:Dinf,2,30
G4D_-9,ORAPG,infected,Gen4:Dinf,2,30
G4D_-10,ORAPG,infected,Gen4:Dinf,2,20
G4D_-11,ORAPG,infected,Gen4:Dinf,2,30
G4D_-12,ORAPG,infected,Gen4:Dinf,2,30
G4D_-1,ORAPG,control,Gen4:Dcontrol,3,0
G4D_-2,ORAPG,control,Gen4:Dcontrol,3,0
G4D_-3,ORAPG,control,Gen4:Dcontrol,3,0
G4D_-4,ORAPG,control,Gen4:Dcontrol,3,0
G4D_-5,ORAPG,control,Gen4:Dcontrol,3,0
G4D_-6,ORAPG,control,Gen4:Dcontrol,3,0
G4D_-7,ORAPG,control,Gen4:Dcontrol,3,0
G4D_-8,ORAPG,control,Gen4:Dcontrol,3,0
G4D_-9,ORAPG,control,Gen4:Dcontrol,3,0
G4D_-10,ORAPG,control,Gen4:Dcontrol,3,0
G4D_-11,ORAPG,control,Gen4:Dcontrol,3,0
G4D_-12,ORAPG,control,Gen4:Dcontrol,3,0
G4D_-1,ORAPG,infected,Gen4:Dinf,3,50
G4D_-2,ORAPG,infected,Gen4:Dinf,3,20
G4D_-3,ORAPG,infected,Gen4:Dinf,3,50
G4D_-4,ORAPG,infected,Gen4:Dinf,3,50
G4D_-5,ORAPG,infected,Gen4:Dinf,3,60
G4D_-6,ORAPG,infected,Gen4:Dinf,3,40
G4D_-7,ORAPG,infected,Gen4:Dinf,3,60
G4D_-8,ORAPG,infected,Gen4:Dinf,3,60
G4D_-9,ORAPG,infected,Gen4:Dinf,3,80
G4D_-10,ORAPG,infected,Gen4:Dinf,3,80
G4D_-11,ORAPG,infected,Gen4:Dinf,3,60
G4D_-12,ORAPG,infected,Gen4:Dinf,3,100
G4D_-1,ORAPG,control,Gen4:Dcontrol,4,0
G4D_-2,ORAPG,control,Gen4:Dcontrol,4,0
G4D_-3,ORAPG,control,Gen4:Dcontrol,4,0
G4D_-4,ORAPG,control,Gen4:Dcontrol,4,0
G4D_-5,ORAPG,control,Gen4:Dcontrol,4,0
G4D_-6,ORAPG,control,Gen4:Dcontrol,4,0
G4D_-7,ORAPG,control,Gen4:Dcontrol,4,0
G4D_-8,ORAPG,control,Gen4:Dcontrol,4,0
G4D_-9,ORAPG,control,Gen4:Dcontrol,4,0
G4D_-10,ORAPG,control,Gen4:Dcontrol,4,0
G4D_-11,ORAPG,control,Gen4:Dcontrol,4,0
G4D_-12,ORAPG,control,Gen4:Dcontrol,4,0
G4D_-1,ORAPG,infected,Gen4:Dinf,4,80
G4D_-2,ORAPG,infected,Gen4:Dinf,4,20
G4D_-3,ORAPG,infected,Gen4:Dinf,4,70
G4D_-4,ORAPG,infected,Gen4:Dinf,4,70
G4D_-5,ORAPG,infected,Gen4:Dinf,4,90
G4D_-6,ORAPG,infected,Gen4:Dinf,4,90
G4D_-7,ORAPG,infected,Gen4:Dinf,4,90
G4D_-8,ORAPG,infected,Gen4:Dinf,4,90
G4D_-9,ORAPG,infected,Gen4:Dinf,4,100
G4D_-10,ORAPG,infected,Gen4:Dinf,4,90
G4D_-11,ORAPG,infected,Gen4:Dinf,4,100
G4D_-12,ORAPG,infected,Gen4:Dinf,4,100
G4D_-1,ORAPG,control,Gen4:Dcontrol,5,0
G4D_-2,ORAPG,control,Gen4:Dcontrol,5,0
G4D_-3,ORAPG,control,Gen4:Dcontrol,5,0
G4D_-4,ORAPG,control,Gen4:Dcontrol,5,0
G4D_-5,ORAPG,control,Gen4:Dcontrol,5,0
G4D_-6,ORAPG,control,Gen4:Dcontrol,5,0
G4D_-7,ORAPG,control,Gen4:Dcontrol,5,0
G4D_-8,ORAPG,control,Gen4:Dcontrol,5,0
G4D_-9,ORAPG,control,Gen4:Dcontrol,5,0
G4D_-10,ORAPG,control,Gen4:Dcontrol,5,0
G4D_-11,ORAPG,control,Gen4:Dcontrol,5,0
G4D_-12,ORAPG,control,Gen4:Dcontrol,5,0
G4D_-1,ORAPG,infected,Gen4:Dinf,5,90
G4D_-2,ORAPG,infected,Gen4:Dinf,5,80
G4D_-3,ORAPG,infected,Gen4:Dinf,5,90
G4D_-4,ORAPG,infected,Gen4:Dinf,5,80
G4D_-5,ORAPG,infected,Gen4:Dinf,5,100
G4D_-6,ORAPG,infected,Gen4:Dinf,5,100
G4D_-7,ORAPG,infected,Gen4:Dinf,5,90
G4D_-8,ORAPG,infected,Gen4:Dinf,5,90
G4D_-9,ORAPG,infected,Gen4:Dinf,5,100
G4D_-10,ORAPG,infected,Gen4:Dinf,5,90
G4D_-11,ORAPG,infected,Gen4:Dinf,5,100
G4D_-12,ORAPG,infected,Gen4:Dinf,5,100
G4D_-1,ORAPG,control,Gen4:Dcontrol,6,0
G4D_-2,ORAPG,control,Gen4:Dcontrol,6,0
G4D_-3,ORAPG,control,Gen4:Dcontrol,6,0
G4D_-4,ORAPG,control,Gen4:Dcontrol,6,0
G4D_-5,ORAPG,control,Gen4:Dcontrol,6,0
G4D_-6,ORAPG,control,Gen4:Dcontrol,6,0
G4D_-7,ORAPG,control,Gen4:Dcontrol,6,0
G4D_-8,ORAPG,control,Gen4:Dcontrol,6,0
G4D_-9,ORAPG,control,Gen4:Dcontrol,6,0
G4D_-10,ORAPG,control,Gen4:Dcontrol,6,0
G4D_-11,ORAPG,control,Gen4:Dcontrol,6,0
G4D_-12,ORAPG,control,Gen4:Dcontrol,6,0
G4D_-1,ORAPG,infected,Gen4:Dinf,6,100
G4D_-2,ORAPG,infected,Gen4:Dinf,6,100
G4D_-3,ORAPG,infected,Gen4:Dinf,6,100
G4D_-4,ORAPG,infected,Gen4:Dinf,6,80
G4D_-5,ORAPG,infected,Gen4:Dinf,6,100
G4D_-6,ORAPG,infected,Gen4:Dinf,6,100
G4D_-7,ORAPG,infected,Gen4:Dinf,6,100
G4D_-8,ORAPG,infected,Gen4:Dinf,6,100
G4D_-9,ORAPG,infected,Gen4:Dinf,6,100
G4D_-10,ORAPG,infected,Gen4:Dinf,6,90
G4D_-11,ORAPG,infected,Gen4:Dinf,6,100
G4D_-12,ORAPG,infected,Gen4:Dinf,6,100
G4D_-1,ORAPG,control,Gen4:Dcontrol,7,0
G4D_-2,ORAPG,control,Gen4:Dcontrol,7,0
G4D_-3,ORAPG,control,Gen4:Dcontrol,7,0
G4D_-4,ORAPG,control,Gen4:Dcontrol,7,0
G4D_-5,ORAPG,control,Gen4:Dcontrol,7,0
G4D_-6,ORAPG,control,Gen4:Dcontrol,7,0
G4D_-7,ORAPG,control,Gen4:Dcontrol,7,0
G4D_-8,ORAPG,control,Gen4:Dcontrol,7,0
G4D_-9,ORAPG,control,Gen4:Dcontrol,7,0
G4D_-10,ORAPG,control,Gen4:Dcontrol,7,0
G4D_-11,ORAPG,control,Gen4:Dcontrol,7,0
G4D_-12,ORAPG,control,Gen4:Dcontrol,7,0
G4D_-1,ORAPG,infected,Gen4:Dinf,7,100
G4D_-2,ORAPG,infected,Gen4:Dinf,7,100
G4D_-3,ORAPG,infected,Gen4:Dinf,7,100
G4D_-4,ORAPG,infected,Gen4:Dinf,7,100
G4D_-5,ORAPG,infected,Gen4:Dinf,7,100
G4D_-6,ORAPG,infected,Gen4:Dinf,7,100
G4D_-7,ORAPG,infected,Gen4:Dinf,7,100
G4D_-8,ORAPG,infected,Gen4:Dinf,7,100
G4D_-9,ORAPG,infected,Gen4:Dinf,7,100
G4D_-10,ORAPG,infected,Gen4:Dinf,7,100
G4D_-11,ORAPG,infected,Gen4:Dinf,7,100
G4D_-12,ORAPG,infected,Gen4:Dinf,7,100