sample_id,gen,sym,tank,treatment,day,pam_1,pam_2,pam_3,FvFM
eca-h1,eca-h,c,1,control,1,0.444,0.55,0.56,0.518
eca-h2,eca-h,c,2,control,1,0.641,0.635,0.605,0.627
eca-h3,eca-h,c,3,control,1,0.593,0.575,0.631,0.599666667
eca-h4,eca-h,c,1,heat,1,0.72,0.643,0.604,0.655666667
eca-h5,eca-h,c,2,heat,1,0.599,0.591,0.618,0.602666667
eca-h6,eca-h,c,3,heat,1,0.584,0.521,0.634,0.579666667
ora-pg1,ora-pg,d,1,control,1,0.517,0.616,0.533,0.555333333
ora-pg2,ora-pg,d,2,control,1,0.63,0.624,0.646,0.633333333
ora-pg3,ora-pg,d,3,control,1,0.564,0.586,0.548,0.566
ora-pg4,ora-pg,d,1,heat,1,0.566,0.453,0.573,0.530666667
ora-pg5,ora-pg,d,2,heat,1,0.562,0.544,0.577,0.561
ora-pg6,ora-pg,d,3,heat,1,0.477,0.574,0.603,0.551333333
ecg1,ecg,d,1,control,1,0.506,0.545,0.605,0.552
ecg2,ecg,d,2,control,1,0.563,0.483,0.648,0.564666667
ecg3,ecg,d,3,control,1,0.564,0.535,0.52,0.539666667
ecg4,ecg,d,1,heat,1,0.628,0.612,0.541,0.593666667
ecg5,ecg,d,2,heat,1,0.52,0.611,0.581,0.570666667
ecg6,ecg,d,3,heat,1,0.526,0.451,0.59,0.522333333
eca-h1,eca-h,c,1,control,2,0.567,0.587,0.611,0.588333333
eca-h2,eca-h,c,2,control,2,0.587,0.597,0.599,0.594333333
eca-h3,eca-h,c,3,control,2,0.608,0.599,0.613,0.606666667
eca-h4,eca-h,c,1,heat,2,0.578,0.592,0.592,0.587333333
eca-h5,eca-h,c,2,heat,2,0.581,0.594,0.623,0.599333333
eca-h6,eca-h,c,3,heat,2,0.594,0.607,0.591,0.597333333
ora-pg1,ora-pg,d,1,control,2,0.593,0.602,0.595,0.596666667
ora-pg2,ora-pg,d,2,control,2,0.566,0.615,0.589,0.59
ora-pg3,ora-pg,d,3,control,2,0.572,0.601,0.581,0.584666667
ora-pg4,ora-pg,d,1,heat,2,0.556,0.574,0.577,0.569
ora-pg5,ora-pg,d,2,heat,2,0.589,0.587,0.613,0.596333333
ora-pg6,ora-pg,d,3,heat,2,0.579,0.585,0.568,0.577333333
ecg1,ecg,d,1,control,2,0.599,0.609,0.618,0.608666667
ecg2,ecg,d,2,control,2,0.605,0.608,0.599,0.604
ecg3,ecg,d,3,control,2,0.635,0.625,0.612,0.624
ecg4,ecg,d,1,heat,2,0.585,0.589,0.603,0.592333333
ecg5,ecg,d,2,heat,2,0.623,0.606,0.605,0.611333333
ecg6,ecg,d,3,heat,2,0.614,0.601,0.581,0.598666667
eca-h1,eca-h,c,1,control,3,0.554,0.637,0.581,0.590666667
eca-h2,eca-h,c,2,control,3,0.614,0.599,0.611,0.608
eca-h3,eca-h,c,3,control,3,0.6,0.581,0.627,0.602666667
eca-h4,eca-h,c,1,heat,3,0.62,0.586,0.588,0.598
eca-h5,eca-h,c,2,heat,3,0.569,0.608,0.59,0.589
eca-h6,eca-h,c,3,heat,3,0.609,0.617,0.578,0.601333333
ora-pg1,ora-pg,d,1,control,3,0.51,0.604,0.653,0.589
ora-pg2,ora-pg,d,2,control,3,0.571,0.613,0.602,0.595333333
ora-pg3,ora-pg,d,3,control,3,0.535,0.585,0.61,0.576666667
ora-pg4,ora-pg,d,1,heat,3,0.579,0.552,0.538,0.556333333
ora-pg5,ora-pg,d,2,heat,3,0.595,0.583,0.596,0.591333333
ora-pg6,ora-pg,d,3,heat,3,0.576,0.602,0.568,0.582
ecg1,ecg,d,1,control,3,0.592,0.641,0.582,0.605
ecg2,ecg,d,2,control,3,0.646,0.611,0.631,0.629333333
ecg3,ecg,d,3,control,3,0.634,0.623,0.596,0.617666667
ecg4,ecg,d,1,heat,3,0.643,0.598,0.568,0.603
ecg5,ecg,d,2,heat,3,0.648,0.611,0.63,0.629666667
ecg6,ecg,d,3,heat,3,0.566,0.622,0.628,0.605333333
eca-h1,eca-h,c,1,control,4,0.585,0.591,0.588,0.588
eca-h2,eca-h,c,2,control,4,0.599,0.605,0.609,0.604333333
eca-h3,eca-h,c,3,control,4,0.612,0.617,0.633,0.620666667
eca-h4,eca-h,c,1,heat,4,0.593,0.588,0.597,0.592666667
eca-h5,eca-h,c,2,heat,4,0.572,0.544,0.571,0.562333333
eca-h6,eca-h,c,3,heat,4,0.583,0.6,0.586,0.589666667
ora-pg1,ora-pg,d,1,control,4,0.592,0.567,0.611,0.59
ora-pg2,ora-pg,d,2,control,4,0.596,0.61,0.61,0.605333333
ora-pg3,ora-pg,d,3,control,4,0.577,0.589,0.583,0.583
ora-pg4,ora-pg,d,1,heat,4,0.55,0.567,0.597,0.571333333
ora-pg5,ora-pg,d,2,heat,4,0.578,0.601,0.613,0.597333333
ora-pg6,ora-pg,d,3,heat,4,0.548,0.588,0.592,0.576
ecg1,ecg,d,1,control,4,0.617,0.645,0.638,0.633333333
ecg2,ecg,d,2,control,4,0.602,0.61,0.61,0.607333333
ecg3,ecg,d,3,control,4,0.604,0.614,0.613,0.610333333
ecg4,ecg,d,1,heat,4,0.602,0.611,0.625,0.612666667
ecg5,ecg,d,2,heat,4,0.585,0.619,0.616,0.606666667
ecg6,ecg,d,3,heat,4,0.606,0.618,0.611,0.611666667
eca-h1,eca-h,c,1,control,5,0.627,0.603,0.587,0.605666667
eca-h2,eca-h,c,2,control,5,0.616,0.585,0.616,0.605666667
eca-h3,eca-h,c,3,control,5,0.608,0.61,0.623,0.613666667
eca-h4,eca-h,c,1,heat,5,0.594,0.575,0.557,0.575333333
eca-h5,eca-h,c,2,heat,5,0.575,0.547,0.581,0.567666667
eca-h6,eca-h,c,3,heat,5,0.584,0.602,0.6,0.595333333
ora-pg1,ora-pg,d,1,control,5,0.579,0.606,0.6,0.595
ora-pg2,ora-pg,d,2,control,5,0.551,0.591,0.595,0.579
ora-pg3,ora-pg,d,3,control,5,0.573,0.622,0.595,0.596666667
ora-pg4,ora-pg,d,1,heat,5,0.585,0.587,0.577,0.583
ora-pg5,ora-pg,d,2,heat,5,0.594,0.593,0.611,0.599333333
ora-pg6,ora-pg,d,3,heat,5,0.583,0.613,0.584,0.593333333
ecg1,ecg,d,1,control,5,0.595,0.604,0.633,0.610666667
ecg2,ecg,d,2,control,5,0.607,0.562,0.589,0.586
ecg3,ecg,d,3,control,5,0.607,0.599,0.611,0.605666667
ecg4,ecg,d,1,heat,5,0.601,0.608,0.619,0.609333333
ecg5,ecg,d,2,heat,5,0.629,0.627,0.622,0.626
ecg6,ecg,d,3,heat,5,0.602,0.615,0.628,0.615
eca-h1,eca-h,c,1,control,6,0.607,0.611,0.647,0.621666667
eca-h2,eca-h,c,2,control,6,0.618,0.641,0.61,0.623
eca-h3,eca-h,c,3,control,6,0.605,0.526,0.629,0.586666667
eca-h4,eca-h,c,1,heat,6,0.586,0.602,0.606,0.598
eca-h5,eca-h,c,2,heat,6,0.58,0.612,0.656,0.616
eca-h6,eca-h,c,3,heat,6,0.598,0.578,0.603,0.593
ora-pg1,ora-pg,d,1,control,6,0.576,0.612,0.611,0.599666667
ora-pg2,ora-pg,d,2,control,6,0.61,0.62,0.6,0.61
ora-pg3,ora-pg,d,3,control,6,0.606,0.612,0.638,0.618666667
ora-pg4,ora-pg,d,1,heat,6,0.586,0.606,0.605,0.599
ora-pg5,ora-pg,d,2,heat,6,0.606,0.619,0.629,0.618
ora-pg6,ora-pg,d,3,heat,6,0.584,0.601,0.594,0.593
ecg1,ecg,d,1,control,6,0.623,0.68,0.625,0.642666667
ecg2,ecg,d,2,control,6,0.635,0.663,0.593,0.630333333
ecg3,ecg,d,3,control,6,0.617,0.629,0.619,0.621666667
ecg4,ecg,d,1,heat,6,0.644,0.606,0.561,0.603666667
ecg5,ecg,d,2,heat,6,0.626,0.613,0.633,0.624
ecg6,ecg,d,3,heat,6,0.63,0.582,0.618,0.61
eca-h1,eca-h,c,1,control,7,0.627,0.622,0.567,0.605333333
eca-h2,eca-h,c,2,control,7,0.633,0.622,0.621,0.625333333
eca-h3,eca-h,c,3,control,7,0.667,0.612,0.63,0.636333333
eca-h4,eca-h,c,1,heat,7,0.598,0.607,0.644,0.616333333
eca-h5,eca-h,c,2,heat,7,0.601,0.626,0.686,0.637666667
eca-h6,eca-h,c,3,heat,7,0.602,0.536,0.644,0.594
ora-pg1,ora-pg,d,1,control,7,0.645,0.65,0.598,0.631
ora-pg2,ora-pg,d,2,control,7,0.61,0.574,0.675,0.619666667
ora-pg3,ora-pg,d,3,control,7,0.634,0.667,0.637,0.646
ora-pg4,ora-pg,d,1,heat,7,0.55,0.544,0.581,0.558333333
ora-pg5,ora-pg,d,2,heat,7,0.55,0.605,0.617,0.590666667
ora-pg6,ora-pg,d,3,heat,7,0.628,0.638,0.565,0.610333333
ecg1,ecg,d,1,control,7,0.641,0.67,0.674,0.661666667
ecg2,ecg,d,2,control,7,0.618,0.683,0.648,0.649666667
ecg3,ecg,d,3,control,7,0.679,0.604,0.601,0.628
ecg4,ecg,d,1,heat,7,0.64,0.657,0.531,0.609333333
ecg5,ecg,d,2,heat,7,0.553,0.561,0.599,0.571
ecg6,ecg,d,3,heat,7,0.632,0.676,0.579,0.629
eca-h1,eca-h,c,1,control,8,0.632,0.644,0.632,0.636
eca-h2,eca-h,c,2,control,8,0.627,0.596,0.615,0.612666667
eca-h3,eca-h,c,3,control,8,0.641,0.643,0.637,0.640333333
eca-h4,eca-h,c,1,heat,8,0.589,0.577,0.565,0.577
eca-h5,eca-h,c,2,heat,8,0.585,0.578,0.576,0.579666667
eca-h6,eca-h,c,3,heat,8,0.568,0.567,0.569,0.568
ora-pg1,ora-pg,d,1,control,8,0.604,0.61,0.613,0.609
ora-pg2,ora-pg,d,2,control,8,0.591,0.561,0.57,0.574
ora-pg3,ora-pg,d,3,control,8,0.601,0.615,0.62,0.612
ora-pg4,ora-pg,d,1,heat,8,0.545,0.57,0.538,0.551
ora-pg5,ora-pg,d,2,heat,8,0.541,0.558,0.547,0.548666667
ora-pg6,ora-pg,d,3,heat,8,0.528,0.534,0.553,0.538333333
ecg1,ecg,d,1,control,8,0.635,0.632,0.645,0.637333333
ecg2,ecg,d,2,control,8,0.622,0.61,0.609,0.613666667
ecg3,ecg,d,3,control,8,0.657,0.625,0.606,0.629333333
ecg4,ecg,d,1,heat,8,0.592,0.591,0.589,0.590666667
ecg5,ecg,d,2,heat,8,0.614,0.604,0.609,0.609
ecg6,ecg,d,3,heat,8,0.6,0.607,0.618,0.608333333
eca-h1,eca-h,c,1,control,9,0.641,0.613,0.658,0.637333333
eca-h2,eca-h,c,2,control,9,0.589,0.639,0.648,0.625333333
eca-h3,eca-h,c,3,control,9,0.644,0.673,0.653,0.656666667
eca-h4,eca-h,c,1,heat,9,0.526,0.579,0.55,0.551666667
eca-h5,eca-h,c,2,heat,9,0.579,0.592,0.566,0.579
eca-h6,eca-h,c,3,heat,9,0.556,0.577,0.562,0.565
ora-pg1,ora-pg,d,1,control,9,0.476,0.556,0.558,0.53
ora-pg2,ora-pg,d,2,control,9,0.627,0.615,0.595,0.612333333
ora-pg3,ora-pg,d,3,control,9,0.65,0.604,0.629,0.627666667
ora-pg4,ora-pg,d,1,heat,9,0.532,0.561,0.523,0.538666667
ora-pg5,ora-pg,d,2,heat,9,0.535,0.557,0.517,0.536333333
ora-pg6,ora-pg,d,3,heat,9,0.546,0.582,0.481,0.536333333
ecg1,ecg,d,1,control,9,0.622,0.642,0.654,0.639333333
ecg2,ecg,d,2,control,9,0.662,0.706,0.714,0.694
ecg3,ecg,d,3,control,9,0.634,0.66,0.628,0.640666667
ecg4,ecg,d,1,heat,9,0.595,0.557,0.6,0.584
ecg5,ecg,d,2,heat,9,0.569,0.581,0.513,0.554333333
ecg6,ecg,d,3,heat,9,0.565,0.61,0.614,0.596333333
eca-h1,eca-h,c,1,control,10,0.619,0.644,0.605,0.622666667
eca-h2,eca-h,c,2,control,10,0.653,0.644,0.639,0.645333333
eca-h3,eca-h,c,3,control,10,0.652,0.649,0.631,0.644
eca-h4,eca-h,c,1,heat,10,0.481,0.509,0.472,0.487333333
eca-h5,eca-h,c,2,heat,10,0.469,0.491,0.464,0.474666667
eca-h6,eca-h,c,3,heat,10,0.481,0.406,0.45,0.445666667
ora-pg1,ora-pg,d,1,control,10,0.587,0.6,0.62,0.602333333
ora-pg2,ora-pg,d,2,control,10,0.576,0.597,0.601,0.591333333
ora-pg3,ora-pg,d,3,control,10,0.597,0.615,0.616,0.609333333
ora-pg4,ora-pg,d,1,heat,10,0.5,0.554,0.566,0.54
ora-pg5,ora-pg,d,2,heat,10,0.5,0.545,0.496,0.513666667
ora-pg6,ora-pg,d,3,heat,10,0.508,0.548,0.535,0.530333333
ecg1,ecg,d,1,control,10,0.639,0.641,0.628,0.636
ecg2,ecg,d,2,control,10,0.632,0.643,0.631,0.635333333
ecg3,ecg,d,3,control,10,0.614,0.659,0.652,0.641666667
ecg4,ecg,d,1,heat,10,0.591,0.595,0.6,0.595333333
ecg5,ecg,d,2,heat,10,0.575,0.595,0.585,0.585
ecg6,ecg,d,3,heat,10,0.584,0.57,0.561,0.571666667
eca-h1,eca-h,c,1,control,11,0.653,0.658,0.632,0.647666667
eca-h2,eca-h,c,2,control,11,0.612,0.626,0.645,0.627666667
eca-h3,eca-h,c,3,control,11,0.629,0.633,0.658,0.64
eca-h4,eca-h,c,1,heat,11,0.384,0.388,0.398,0.39
eca-h5,eca-h,c,2,heat,11,0.309,0.23,0.232,0.257
eca-h6,eca-h,c,3,heat,11,0.31,0.234,0.25,0.264666667
ora-pg1,ora-pg,d,1,control,11,0.588,0.627,0.618,0.611
ora-pg2,ora-pg,d,2,control,11,0.63,0.61,0.593,0.611
ora-pg3,ora-pg,d,3,control,11,0.621,0.6,0.618,0.613
ora-pg4,ora-pg,d,1,heat,11,0.443,0.482,0.602,0.509
ora-pg5,ora-pg,d,2,heat,11,0.49,0.532,0.498,0.506666667
ora-pg6,ora-pg,d,3,heat,11,0.438,0.506,0.49,0.478
ecg1,ecg,d,1,control,11,0.645,0.642,0.644,0.643666667
ecg2,ecg,d,2,control,11,0.633,0.632,0.634,0.633
ecg3,ecg,d,3,control,11,0.654,0.668,0.664,0.662
ecg4,ecg,d,1,heat,11,0.573,0.564,0.582,0.573
ecg5,ecg,d,2,heat,11,0.57,0.563,0.538,0.557
ecg6,ecg,d,3,heat,11,0.54,0.509,0.53,0.526333333
eca-h1,eca-h,c,1,control,12,0.655,0.63,0.641,0.642
eca-h2,eca-h,c,2,control,12,0.633,0.63,0.633,0.632
eca-h3,eca-h,c,3,control,12,0.626,0.616,0.618,0.62
eca-h4,eca-h,c,1,heat,12,0.312,0.222,0.259,0.264333333
eca-h5,eca-h,c,2,heat,12,0.325,0.118,0.145,0.196
eca-h6,eca-h,c,3,heat,12,0.122,0.079,0.147,0.116
ora-pg1,ora-pg,d,1,control,12,0.598,0.627,0.613,0.612666667
ora-pg2,ora-pg,d,2,control,12,0.616,0.617,0.635,0.622666667
ora-pg3,ora-pg,d,3,control,12,0.619,0.629,0.631,0.626333333
ora-pg4,ora-pg,d,1,heat,12,0.345,0.152,0.309,0.268666667
ora-pg5,ora-pg,d,2,heat,12,0.431,0.378,0.434,0.414333333
ora-pg6,ora-pg,d,3,heat,12,0.491,0.373,0.432,0.432
ecg1,ecg,d,1,control,12,0.649,0.653,0.646,0.649333333
ecg2,ecg,d,2,control,12,0.632,0.654,0.661,0.649
ecg3,ecg,d,3,control,12,0.642,0.657,0.634,0.644333333
ecg4,ecg,d,1,heat,12,0.524,0.529,0.536,0.529666667
ecg5,ecg,d,2,heat,12,0.531,0.512,0.51,0.517666667
ecg6,ecg,d,3,heat,12,0.494,0.484,0.537,0.505