ID,Treatment,Tank,algae_1,algae_2,algae_3,Surface Area (cm^2),prot_1,prot_2,prot_3,chl_663_1,chl_663_2,chl_663_3,chl_630_1,chl_630_2,chl_630_3
ECAH-1,Control,1,9.3,9.4,9.1,2.36372,0.05,0.052,0.061,0.127,0.167,0.147,0.064,0.066,0.068
ECAH-2,Control,2,8.3,8.2,8.2,2.83015,0.086,0.079,0.085,0.277,0.307,0.282333333,0.063,0.061,0.072
ECAH-3,Control,3,14,10.9,12.8,2.45298,0.089,0.077,0.085,0.162,0.156,0.191666667,0.059,0.06,0.082
ECAH-4,Heat,1,1.3,1.2,1.3,1.61297,0.071,0.075,0.067,0.022,0.014,0.027666667,0.024,0.028,0.026
ECAH-5,Heat,2,1.4,1.6,1.4,1.93369,0.036,0.03,0.028,0.001,0,0.038,0.014,0.014,0.018
ECAH-6,Heat,3,1.3,1.6,1.3,1.99629,0.09,0.095,0.091,0.064,0.04,0.052,0.02,0.02,0.001
ECG-1,Control,1,17.1,17.4,17.1,1.11482,0.034,0.037,0.041,0.082,0.08,0.0805,0.077,0.086,0.087
ECG-2,Control,2,21.9,22.7,23.2,2.67713,0.115,0.107,0.097,0.18,0.116,0.109,0.124,0.128,0.127
ECG-3,Control,3,31.2,31.3,31.7,3.12158,0.038,0.032,0.038,0.11,0.135,0.115,0.114,0.145,0.142
ECG-4,Heat,1,3.5,7,4.2,0.878129,0.02,0.02,0.024,0.077,0.175,0.107333333,0.061,0.063,0.067
ECG-5,Heat,2,3.2,6.4,3.45,0.6808095,0.036,0.032,0.031,0.213,,0.1585,0.077,0.085,
ECG-6,Heat,3,1,1.2,1,0.375508,0.009,0.009,0.009,,0.106,0.1035,0.099,,0.102
ORAPG-1,Control,1,23.5,23.2,23.2,2.72005,0.072,0.074,0.063,0.223,0.372,0.303333333,0.179,0.185,0.244
ORAPG-2,Control,2,17.1,17.4,16.9,3.04256,0.098,0.084,0.081,0.185,,0.177,0.13,0.151,
ORAPG-3,Control,3,27.1,25.2,25.8,3.99415,0.129,0.121,0.121,0.308,0.279,0.365,0.161,0.148,0.147
ORAPG-4,Heat,1,4.9,8.9,9,1.547168,0.077,0.083,0.078,0.071,0.036,0.0535,,0.034,0.002
ORAPG-5,Heat,2,5.1,4.2,4.1,0.347018,0.049,0.052,0.052,0.011,0.085,0.048,,0.07,0.07
ORAPG-6,Heat,3,7.6,8.4,6.4,1.3218345,0.121,0.117,0.119,0.048,0.04,0.049666667,0.02,0.05,0.02