Sample,Treatment,Genotype,Algae_type,Gen_Algae
ECAH1,Control,gen1_,C,gen1_C
ECAH2,Control,gen1_,C,gen1_C
ECAH3,Control,gen1_,C,gen1_C
ECAH4,Heat,gen1_,C,gen1_C
ECAH5,Heat,gen1_,C,gen1_C
ECAH6,Heat,gen1_,C,gen1_C
ECG1,Control,gen4_,D,gen4_D
ECG2,Control,gen4_,D,gen4_D
ECG3,Control,gen4_,D,gen4_D
ECG4,Heat,gen4_,D,gen4_D
ECG5,Heat,gen4_,D,gen4_D
ECG6,Heat,gen4_,D,gen4_D
ORAPG1,Control,gen3_,D,gen3_D
ORAPG2,Control,gen3_,D,gen3_D
ORAPG3,Control,gen3_,D,gen3_D
ORAPG4,Heat,gen3_,D,gen3_D
ORAPG5,Heat,gen3_,D,gen3_D
ORAPG6,Heat,gen3_,D,gen3_D