Sample,Ile,Site,IleSite,Clade,SymClade,Algae_type,Holobiotype,IleHolobiotype,Lib_type
I01S01C01POC,I01,S01,I01S01,SVD4,D1,Durusdinium,SVD4_D1,I01_SVD4_D1,RNA NEB_U2 Stranded PolyA
I01S01C06POC,I01,S01,I01S01,SVD4,D1,Durusdinium,SVD4_D1,I01_SVD4_D1,RNA NEB_U2 Stranded PolyA
I01S01C10POC,I01,S01,I01S01,SVD4,D1,Durusdinium,SVD4_D1,I01_SVD4_D1,RNA NEB_U2 Stranded PolyA
I01S02C01POC,I01,S02,I01S02,SVD4,Group5,Cladocopium,SVD4_Group5,I01_SVD4_Group5,RNA NEB_U2 Stranded PolyA
I01S02C06POC,I01,S02,I01S02,SVD4,Group5,Cladocopium,SVD4_Group5,I01_SVD4_Group5,RNA NEB_U2 Stranded PolyA
I01S02C10POC,I01,S02,I01S02,SVD4,D1,Durusdinium,SVD4_D1,I01_SVD4_D1,RNA NEB_U2 Stranded PolyA
I01S03C06POC,I01,S03,I01S03,SVD4,Group5,Cladocopium,SVD4_Group5,I01_SVD4_Group5,RNA NEB_U2 Stranded PolyA
I01S03C10POC,I01,S03,I01S03,SVD4,Group5,Cladocopium,SVD4_Group5,I01_SVD4_Group5,RNA NEB_U2 Stranded PolyA
I02S01C01POC,I02,S01,I02S01,SVD4,D1,Durusdinium,SVD4_D1,I02_SVD4_D1,RNA NEB_U2 Stranded PolyA
I02S01C06POC,I02,S01,I02S01,SVD4,D1,Durusdinium,SVD4_D1,I02_SVD4_D1,RNA NEB_U2 Stranded PolyA
I02S01C10POC,I02,S01,I02S01,SVD4,D1,Durusdinium,SVD4_D1,I02_SVD4_D1,RNA NEB_U2 Stranded PolyA
I02S02C01POC,I02,S02,I02S02,SVD4,Group5,Cladocopium,SVD4_Group5,I02_SVD4_Group5,RNA NEB_U2 Stranded PolyA
I02S02C06POC,I02,S02,I02S02,SVD4,D1,Durusdinium,SVD4_D1,I02_SVD4_D1,RNA NEB_U2 Stranded PolyA
I02S02C10POC,I02,S02,I02S02,SVD4,Group5,Cladocopium,SVD4_Group5,I02_SVD4_Group5,RNA NEB_U2 Stranded PolyA
I02S03C01POC,I02,S03,I02S03,SVD4,D1,Durusdinium,SVD4_D1,I02_SVD4_D1,RNA NEB_U2 Stranded PolyA
I02S03C06POC,I02,S03,I02S03,SVD4,D1,Durusdinium,SVD4_D1,I02_SVD4_D1,RNA NEB_U2 Stranded PolyA
I02S03C10POC,I02,S03,I02S03,SVD4,D1,Durusdinium,SVD4_D1,I02_SVD4_D1,RNA NEB_U2 Stranded PolyA
I03S01C12POC,I03,S01,I03S01,SVD4,D1,Durusdinium,SVD4_D1,I03_SVD4_D1,TruSeq Stranded poly A
I03S01C13POC,I03,S01,I03S01,SVD4,Group5,Cladocopium,SVD4_Group5,I03_SVD4_Group5,TruSeq Stranded poly A
I03S01C14POC,I03,S01,I03S01,SVD4,D1,Durusdinium,SVD4_D1,I03_SVD4_D1,TruSeq Stranded poly A
I03S01C17POC,I03,S01,I03S01,SVD4,Group5,Cladocopium,SVD4_Group5,I03_SVD4_Group5,TruSeq Stranded poly A
I03S01C18POC,I03,S01,I03S01,SVD4,Group5,Cladocopium,SVD4_Group5,I03_SVD4_Group5,TruSeq Stranded poly A
I03S01C19POC,I03,S01,I03S01,SVD4,Group5,Cladocopium,SVD4_Group5,I03_SVD4_Group5,TruSeq Stranded poly A
I05S01C01POC,I05,S01,I05S01,SVD4,Group4,Cladocopium,SVD4_Group4,I05_SVD4_Group4,TruSeq Stranded poly A
I05S01C06POC,I05,S01,I05S01,SVD4,Group4,Cladocopium,SVD4_Group4,I05_SVD4_Group4,TruSeq Stranded poly A
I05S03C10POC,I05,S03,I05S03,SVD4,Group4,Cladocopium,SVD4_Group4,I05_SVD4_Group4,TruSeq Stranded poly A
I06S01C10POC,I06,S01,I06S01,SVD4,Group4,Cladocopium,SVD4_Group4,I06_SVD4_Group4,RNA NEB_U2 Stranded PolyA
I06S02C10POC,I06,S02,I06S02,SVD4,Group4,Cladocopium,SVD4_Group4,I06_SVD4_Group4,RNA NEB_U2 Stranded PolyA